@relation pacman-weka.filters.unsupervised.attribute.Remove-R49-weka.filters.unsupervised.attribute.Remove-R7-44

@attribute pacmanx numeric
@attribute pacmany numeric
@attribute legalW numeric
@attribute legalE numeric
@attribute legalN numeric
@attribute legalS numeric
@attribute pac_dots numeric
@attribute distance_dots numeric
@attribute score numeric
@attribute move {Stop,East,West,North,South}
@attribute class {Stop,East,West,North,South}

@data
20,17,1,1,0,0,173,1,4739,West,West
19,17,1,1,0,0,172,1,4838,West,West
18,17,1,1,0,0,171,1,4937,West,West
17,17,1,1,0,0,170,1,5036,West,West
16,17,1,1,0,0,169,1,5135,West,West
15,17,1,1,0,0,168,1,5234,West,West
14,17,1,1,0,0,167,1,5333,West,West
13,17,0,1,0,1,166,1,5432,West,South
13,16,0,0,1,1,165,1,5531,South,South
13,15,0,0,1,1,164,1,5630,South,South
13,14,0,0,1,1,163,1,5729,South,South
13,13,0,0,1,1,162,1,5828,South,South
13,12,0,0,1,1,161,1,5927,South,South
13,11,1,1,1,0,160,1,6026,South,West
12,11,1,1,0,0,159,1,6125,West,West
11,11,1,1,1,0,158,1,6224,West,West
10,11,1,1,0,0,157,1,6323,West,West
9,11,1,1,0,0,156,1,6422,West,West
8,11,0,1,0,1,155,1,6521,West,West
8,11,0,1,0,1,155,1,6520,West,West
8,11,0,1,0,1,155,1,6519,West,South
8,10,1,0,1,1,154,1,6618,South,West
7,10,1,1,0,0,153,1,6717,West,West
6,10,0,1,1,1,152,1,6816,West,South
6,9,1,0,1,0,151,1,6915,South,West
5,9,1,1,0,0,150,1,7014,West,West
4,9,1,1,0,0,149,1,7113,West,West
3,9,1,1,0,0,148,1,7212,West,West
2,9,1,1,0,0,147,1,7311,West,West
1,9,0,1,1,0,146,1,7410,West,North
1,10,0,0,1,1,145,1,7509,North,North
1,11,0,1,1,1,144,1,7808,North,North
1,12,0,0,1,1,143,1,7907,North,North
1,13,0,0,1,1,142,1,8006,North,North
1,14,0,1,1,1,141,1,8105,North,South
1,13,0,0,1,1,141,2,8104,South,South
1,12,0,0,1,1,141,2,8103,South,South
1,11,0,1,1,1,141,1,8102,South,East
2,11,1,1,0,0,140,1,8201,East,East
3,11,1,1,0,0,139,1,8300,East,East
4,11,1,1,0,0,138,1,8399,East,East
5,11,1,1,0,0,137,1,8498,East,East
6,11,1,0,0,1,136,3,8597,East,South
